"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-01","Quebec","2016A000224","Unemployment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063867","6.6.1.5.1.1","159.5","","","","1"
"2024-01","Quebec","2016A000224","Unemployment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063868","6.7.1.5.1.1","3.9","","","","1"
"2024-01","Quebec","2016A000224","Participation rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063869","6.8.1.5.1.1","63.7","","","","1"
"2024-01","Quebec","2016A000224","Employment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063870","6.9.1.5.1.1","61.2","","","","1"
"2024-01","Ontario","2016A000235","Population","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064051","7.1.1.5.1.1","11058.5","","","","1"
"2024-01","Ontario","2016A000235","Labour force","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064052","7.2.1.5.1.1","7305.1","","","","1"
"2024-01","Ontario","2016A000235","Employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064053","7.3.1.5.1.1","6926.6","","","","1"
"2024-01","Ontario","2016A000235","Full-time employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064054","7.4.1.5.1.1","6006.6","","","","1"
"2024-01","Ontario","2016A000235","Part-time employment ","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064055","7.5.1.5.1.1","920.0","","","","1"
"2024-01","Ontario","2016A000235","Unemployment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064056","7.6.1.5.1.1","378.5","","","","1"
"2024-01","Ontario","2016A000235","Unemployment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064057","7.7.1.5.1.1","5.2","","","","1"
"2024-01","Ontario","2016A000235","Participation rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064058","7.8.1.5.1.1","66.1","","","","1"
"2024-01","Ontario","2016A000235","Employment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064059","7.9.1.5.1.1","62.6","","","","1"
"2024-01","Manitoba","2016A000246","Population","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064240","8.1.1.5.1.1","929.2","","","","1"
"2024-01","Manitoba","2016A000246","Labour force","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064241","8.2.1.5.1.1","620.2","","","","1"
"2024-01","Manitoba","2016A000246","Employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064242","8.3.1.5.1.1","600.0","","","","1"
"2024-01","Manitoba","2016A000246","Full-time employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064243","8.4.1.5.1.1","526.6","","","","1"
"2024-01","Manitoba","2016A000246","Part-time employment ","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064244","8.5.1.5.1.1","73.4","","","","1"
"2024-01","Manitoba","2016A000246","Unemployment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064245","8.6.1.5.1.1","20.2","","","","1"
"2024-01","Manitoba","2016A000246","Unemployment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064246","8.7.1.5.1.1","3.3","","","","1"
"2024-01","Manitoba","2016A000246","Participation rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064247","8.8.1.5.1.1","66.7","","","","1"
"2024-01","Manitoba","2016A000246","Employment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064248","8.9.1.5.1.1","64.6","","","","1"
"2024-01","Saskatchewan","2016A000247","Population","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064429","9.1.1.5.1.1","794.3","","","","1"
"2024-01","Saskatchewan","2016A000247","Labour force","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064430","9.2.1.5.1.1","544.5","","","","1"
"2024-01","Saskatchewan","2016A000247","Employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064431","9.3.1.5.1.1","523.0","","","","1"
"2024-01","Saskatchewan","2016A000247","Full-time employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064432","9.4.1.5.1.1","454.3","","","","1"
"2024-01","Saskatchewan","2016A000247","Part-time employment ","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064433","9.5.1.5.1.1","68.6","","","","1"
"2024-01","Saskatchewan","2016A000247","Unemployment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064434","9.6.1.5.1.1","21.5","","","","1"
"2024-01","Saskatchewan","2016A000247","Unemployment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064435","9.7.1.5.1.1","3.9","","","","1"
"2024-01","Saskatchewan","2016A000247","Participation rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064436","9.8.1.5.1.1","68.6","","","","1"
"2024-01","Saskatchewan","2016A000247","Employment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064437","9.9.1.5.1.1","65.8","","","","1"
"2024-01","Alberta","2016A000248","Population","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064618","10.1.1.5.1.1","3269.3","","","","1"
"2024-01","Alberta","2016A000248","Labour force","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064619","10.2.1.5.1.1","2304.8","","","","1"
"2024-01","Alberta","2016A000248","Employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064620","10.3.1.5.1.1","2193.7","","","","1"
"2024-01","Alberta","2016A000248","Full-time employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064621","10.4.1.5.1.1","1888.0","","","","1"
"2024-01","Alberta","2016A000248","Part-time employment ","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064622","10.5.1.5.1.1","305.7","","","","1"
"2024-01","Alberta","2016A000248","Unemployment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064623","10.6.1.5.1.1","111.1","","","","1"
"2024-01","Alberta","2016A000248","Unemployment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064624","10.7.1.5.1.1","4.8","","","","1"
"2024-01","Alberta","2016A000248","Participation rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064625","10.8.1.5.1.1","70.5","","","","1"
"2024-01","Alberta","2016A000248","Employment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064626","10.9.1.5.1.1","67.1","","","","1"
"2024-01","British Columbia","2016A000259","Population","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064807","11.1.1.5.1.1","3949.4","","","","1"
"2024-01","British Columbia","2016A000259","Labour force","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064808","11.2.1.5.1.1","2580.5","","","","1"
"2024-01","British Columbia","2016A000259","Employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064809","11.3.1.5.1.1","2449.0","","","","1"
"2024-01","British Columbia","2016A000259","Full-time employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064810","11.4.1.5.1.1","2046.8","","","","1"
"2024-01","British Columbia","2016A000259","Part-time employment ","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064811","11.5.1.5.1.1","402.2","","","","1"
"2024-01","British Columbia","2016A000259","Unemployment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064812","11.6.1.5.1.1","131.5","","","","1"
"2024-01","British Columbia","2016A000259","Unemployment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064813","11.7.1.5.1.1","5.1","","","","1"
"2024-01","British Columbia","2016A000259","Participation rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064814","11.8.1.5.1.1","65.3","","","","1"
"2024-01","British Columbia","2016A000259","Employment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064815","11.9.1.5.1.1","62.0","","","","1"


