REF_DATE,GEO,Participation Rate_SCALAR_FACTOR,Population_SCALAR_FACTOR,Unemployment Rate_SCALAR_FACTOR,Participation Rate,Population,Unemployment Rate,Year
2016-07,Canada,units,thousands,units,65.7,29403.2,6.9,2016
2016-07,Manitoba,units,thousands,units,68.3,999.2,6.3,2016
2016-07,New Brunswick,units,thousands,units,63.5,630.1,10.0,2016
2016-07,Newfoundland and Labrador,units,thousands,units,60.3,448.1,13.0,2016
2016-07,Nova Scotia,units,thousands,units,61.7,781.8,8.4,2016
2016-07,Ontario,units,thousands,units,64.8,11428.2,6.3,2016
2016-07,Prince Edward Island,units,thousands,units,65.8,121.5,9.6,2016
2016-07,Quebec,units,thousands,units,64.5,6784.7,7.1,2016
2016-07,Saskatchewan,units,thousands,units,69.7,860.6,6.1,2016
2016-09,Alberta,units,thousands,units,72.5,3323.4,8.6,2016
2016-09,British Columbia,units,thousands,units,65.4,4040.9,6.0,2016
2016-09,Canada,units,thousands,units,65.9,29471.2,7.0,2016
2016-09,Manitoba,units,thousands,units,68.2,1001.8,6.4,2016
2016-09,New Brunswick,units,thousands,units,63.4,630.8,9.9,2016
2016-09,Newfoundland and Labrador,units,thousands,units,60.9,448.0,13.8,2016
2016-09,Nova Scotia,units,thousands,units,61.6,783.0,8.0,2016
2016-09,Ontario,units,thousands,units,64.9,11463.2,6.5,2016
2016-09,Prince Edward Island,units,thousands,units,67.4,122.0,11.4,2016
2016-09,Quebec,units,thousands,units,65.0,6795.9,6.8,2016
2016-09,Saskatchewan,units,thousands,units,70.0,862.2,6.8,2016
2016-08,Alberta,units,thousands,units,72.2,3321.4,8.3,2016
2016-08,British Columbia,units,thousands,units,65.3,4036.7,5.5,2016
2016-08,Canada,units,thousands,units,65.8,29442.2,6.9,2016
2016-08,Manitoba,units,thousands,units,67.9,1000.6,6.0,2016
2016-08,New Brunswick,units,thousands,units,62.9,630.5,9.5,2016
2016-08,Newfoundland and Labrador,units,thousands,units,60.8,448.1,13.0,2016
2016-08,Nova Scotia,units,thousands,units,61.9,782.5,8.3,2016
2016-08,Ontario,units,thousands,units,65.0,11448.2,6.5,2016
2016-08,Prince Edward Island,units,thousands,units,67.5,121.8,12.2,2016
2016-08,Quebec,units,thousands,units,64.7,6791.0,6.9,2016
2016-08,Saskatchewan,units,thousands,units,69.6,861.6,6.3,2016
2017-08,Alberta,units,thousands,units,72.0,3356.1,8.4,2017
2017-08,British Columbia,units,thousands,units,66.4,4097.9,5.0,2017
2017-08,Canada,units,thousands,units,66.0,29823.9,6.2,2017
2017-08,Manitoba,units,thousands,units,67.5,1016.4,4.9,2017
2017-08,New Brunswick,units,thousands,units,61.6,633.6,8.0,2017
2017-08,Newfoundland and Labrador,units,thousands,units,58.8,447.6,15.1,2017
2017-08,Nova Scotia,units,thousands,units,62.0,789.3,8.4,2017
2017-08,Ontario,units,thousands,units,65.0,11634.9,5.5,2017
2017-08,Prince Edward Island,units,thousands,units,66.5,124.6,9.1,2017
2017-08,Quebec,units,thousands,units,65.3,6853.2,6.0,2017
2017-08,Saskatchewan,units,thousands,units,69.1,870.3,6.1,2017
2017-09,Alberta,units,thousands,units,71.5,3359.2,7.6,2017
2017-09,British Columbia,units,thousands,units,65.8,4103.5,5.2,2017
